"x_center","y_center","intensity","location"
12.375,0.225,0,"N"
12.225,0.375,0,"N"
12.375,0.375,0,"N"
12.225,0.525,0,"N"
12.375,0.525,0,"N"
12.075,0.675,0,"N"
12.225,0.675,0,"N"
11.925,0.825,0,"N"
12.075,0.825,0,"N"
12.225,0.825,0,"N"
11.775,0.975,0,"N"
11.925,0.975,0,"N"
12.075,0.975,0,"N"
12.225,0.975,0,"N"
11.025,1.125,0,"N"
11.175,1.125,0,"N"
11.775,1.125,0,"N"
11.925,1.125,0,"N"
12.075,1.125,0,"N"
10.875,1.275,0,"N"
11.025,1.275,0,"N"
11.175,1.275,0,"N"
11.325,1.275,0,"N"
11.775,1.275,0,"N"
11.925,1.275,0,"N"
12.075,1.275,0,"N"
12.225,1.275,0,"N"
10.875,1.425,0,"N"
11.025,1.425,0,"N"
11.175,1.425,0,"N"
11.325,1.425,0,"N"
11.475,1.425,0,"N"
11.625,1.425,0,"N"
11.775,1.425,0,"N"
11.925,1.425,0,"N"
12.075,1.425,0,"N"
12.225,1.425,0,"N"
12.375,1.425,0,"N"
10.875,1.575,0,"N"
11.025,1.575,0,"N"
11.175,1.575,0,"N"
11.325,1.575,0,"N"
11.475,1.575,0,"N"
11.625,1.575,0,"N"
11.775,1.575,0,"N"
11.925,1.575,0,"N"
12.075,1.575,0,"N"
12.225,1.575,0,"N"
12.375,1.575,0,"N"
12.525,1.575,0,"N"
11.025,1.725,0,"N"
11.175,1.725,0,"N"
11.325,1.725,0,"N"
11.475,1.725,0,"N"
11.625,1.725,0,"N"
11.775,1.725,0,"N"
11.925,1.725,0,"N"
12.075,1.725,0,"N"
12.225,1.725,0,"N"
12.375,1.725,0,"N"
12.525,1.725,0,"N"
12.675,1.725,0,"N"
11.025,1.875,0,"N"
11.175,1.875,0,"N"
11.325,1.875,0,"N"
11.475,1.875,0,"N"
11.625,1.875,0,"N"
11.775,1.875,0,"N"
11.925,1.875,0,"N"
12.075,1.875,0,"N"
12.225,1.875,0,"N"
12.375,1.875,0,"N"
12.525,1.875,0,"N"
12.675,1.875,0,"N"
12.825,1.875,0,"N"
11.025,2.025,0,"N"
11.175,2.025,0,"N"
11.325,2.025,0,"N"
11.475,2.025,0,"N"
11.625,2.025,0,"N"
11.775,2.025,0,"N"
11.925,2.025,0,"N"
12.075,2.025,0,"N"
12.225,2.025,0,"N"
12.375,2.025,0,"N"
12.525,2.025,0,"N"
12.675,2.025,0,"N"
12.825,2.025,0,"N"
12.975,2.025,0,"N"
10.725,2.175,177.777777777778,"N"
10.875,2.175,44.4444444444444,"N"
11.025,2.175,0,"N"
11.175,2.175,0,"N"
11.325,2.175,0,"N"
11.475,2.175,0,"N"
11.625,2.175,533.333333333333,"N"
11.775,2.175,311.111111111111,"N"
11.925,2.175,133.333333333333,"N"
12.075,2.175,0,"N"
12.225,2.175,0,"N"
12.375,2.175,0,"N"
12.525,2.175,0,"N"
12.675,2.175,0,"N"
12.825,2.175,0,"N"
12.975,2.175,0,"N"
13.125,2.175,0,"N"
10.575,2.325,222.222222222222,"N"
10.725,2.325,755.555555555556,"N"
10.875,2.325,844.444444444444,"N"
11.025,2.325,0,"N"
11.175,2.325,0,"N"
11.325,2.325,0,"N"
11.475,2.325,0,"N"
11.625,2.325,355.555555555556,"N"
11.775,2.325,311.111111111111,"N"
11.925,2.325,266.666666666667,"N"
12.075,2.325,0,"N"
12.225,2.325,0,"N"
12.375,2.325,0,"N"
12.525,2.325,0,"N"
12.675,2.325,0,"N"
12.825,2.325,0,"N"
12.975,2.325,0,"N"
13.125,2.325,0,"N"
13.275,2.325,0,"N"
10.275,2.475,0,"N"
10.425,2.475,0,"N"
10.575,2.475,533.333333333333,"N"
10.725,2.475,311.111111111111,"N"
10.875,2.475,88.8888888888889,"N"
11.025,2.475,0,"N"
11.175,2.475,0,"N"
11.325,2.475,0,"N"
11.475,2.475,0,"N"
11.625,2.475,0,"N"
11.775,2.475,0,"N"
11.925,2.475,0,"N"
12.075,2.475,0,"N"
12.225,2.475,0,"N"
12.375,2.475,0,"N"
12.525,2.475,0,"N"
12.675,2.475,0,"N"
12.825,2.475,0,"N"
12.975,2.475,0,"N"
13.125,2.475,0,"N"
13.275,2.475,0,"N"
13.425,2.475,0,"N"
9.975,2.625,0,"N"
10.125,2.625,133.333333333333,"N"
10.275,2.625,0,"N"
10.425,2.625,0,"N"
10.575,2.625,1244.44444444444,"N"
10.725,2.625,177.777777777778,"N"
10.875,2.625,400,"N"
11.025,2.625,0,"N"
11.175,2.625,0,"N"
11.325,2.625,0,"N"
11.475,2.625,0,"N"
11.625,2.625,0,"N"
11.775,2.625,0,"N"
11.925,2.625,0,"N"
12.075,2.625,0,"N"
12.225,2.625,0,"N"
12.375,2.625,0,"N"
12.525,2.625,0,"N"
12.675,2.625,0,"N"
12.825,2.625,0,"N"
12.975,2.625,0,"N"
13.125,2.625,0,"N"
13.275,2.625,0,"N"
13.425,2.625,0,"N"
13.575,2.625,0,"N"
9.825,2.775,88.8888888888889,"N"
9.975,2.775,488.888888888889,"N"
10.125,2.775,222.222222222222,"N"
10.275,2.775,44.4444444444444,"N"
10.425,2.775,0,"N"
10.575,2.775,266.666666666667,"N"
10.725,2.775,0,"N"
10.875,2.775,133.333333333333,"N"
11.025,2.775,44.4444444444444,"N"
11.175,2.775,0,"N"
11.325,2.775,0,"N"
11.475,2.775,0,"N"
11.625,2.775,0,"N"
11.775,2.775,0,"N"
11.925,2.775,0,"N"
12.075,2.775,0,"N"
12.225,2.775,0,"N"
12.375,2.775,0,"N"
12.525,2.775,0,"N"
12.675,2.775,0,"N"
12.825,2.775,0,"N"
12.975,2.775,0,"N"
13.125,2.775,0,"N"
13.275,2.775,0,"N"
13.425,2.775,0,"N"
13.575,2.775,0,"N"
13.725,2.775,0,"N"
13.875,2.775,0,"N"
7.425,2.925,0,"N"
7.575,2.925,0,"N"
9.525,2.925,0,"N"
9.675,2.925,0,"N"
9.825,2.925,44.4444444444444,"N"
9.975,2.925,1688.88888888889,"N"
10.125,2.925,1244.44444444444,"N"
10.275,2.925,222.222222222222,"N"
10.425,2.925,88.8888888888889,"N"
10.575,2.925,0,"N"
10.725,2.925,44.4444444444444,"N"
10.875,2.925,44.4444444444444,"N"
11.025,2.925,0,"N"
11.175,2.925,0,"N"
11.325,2.925,0,"N"
11.475,2.925,0,"N"
11.625,2.925,0,"N"
11.775,2.925,0,"N"
11.925,2.925,0,"N"
12.075,2.925,0,"N"
12.225,2.925,0,"N"
12.375,2.925,0,"N"
12.525,2.925,0,"N"
12.675,2.925,0,"N"
12.825,2.925,0,"N"
12.975,2.925,0,"N"
13.125,2.925,0,"N"
13.275,2.925,0,"N"
13.425,2.925,0,"N"
13.575,2.925,0,"N"
13.725,2.925,0,"N"
13.875,2.925,0,"N"
14.025,2.925,0,"N"
6.825,3.075,0,"N"
6.975,3.075,0,"N"
7.125,3.075,0,"N"
7.275,3.075,0,"N"
7.425,3.075,0,"N"
7.575,3.075,0,"N"
7.725,3.075,0,"N"
7.875,3.075,0,"N"
8.025,3.075,0,"N"
8.175,3.075,0,"N"
8.325,3.075,0,"N"
8.475,3.075,0,"N"
9.225,3.075,0,"N"
9.375,3.075,44.4444444444444,"N"
9.525,3.075,355.555555555556,"N"
9.675,3.075,0,"N"
9.825,3.075,222.222222222222,"N"
9.975,3.075,355.555555555556,"N"
10.125,3.075,44.4444444444444,"N"
10.275,3.075,44.4444444444444,"N"
10.425,3.075,266.666666666667,"N"
10.575,3.075,0,"N"
10.725,3.075,0,"N"
10.875,3.075,0,"N"
11.025,3.075,0,"N"
11.175,3.075,0,"N"
11.325,3.075,0,"N"
11.475,3.075,0,"N"
11.625,3.075,0,"N"
11.775,3.075,0,"N"
11.925,3.075,0,"N"
12.075,3.075,0,"N"
12.225,3.075,0,"N"
12.375,3.075,0,"N"
12.525,3.075,0,"N"
12.675,3.075,0,"N"
12.825,3.075,0,"N"
12.975,3.075,0,"N"
13.125,3.075,0,"N"
13.275,3.075,0,"N"
13.425,3.075,0,"N"
13.575,3.075,0,"N"
13.725,3.075,0,"N"
13.875,3.075,0,"N"
14.025,3.075,0,"N"
6.225,3.225,0,"N"
6.375,3.225,0,"N"
6.525,3.225,88.8888888888889,"N"
6.675,3.225,0,"N"
6.825,3.225,0,"N"
6.975,3.225,44.4444444444444,"N"
7.125,3.225,44.4444444444444,"N"
7.275,3.225,0,"N"
7.425,3.225,44.4444444444444,"N"
7.575,3.225,88.8888888888889,"N"
7.725,3.225,44.4444444444444,"IF"
7.875,3.225,0,"IF"
8.025,3.225,88.8888888888889,"N"
8.175,3.225,0,"N"
8.325,3.225,0,"N"
8.475,3.225,0,"N"
8.625,3.225,0,"N"
8.775,3.225,0,"N"
8.925,3.225,0,"N"
9.075,3.225,0,"N"
9.225,3.225,0,"N"
9.375,3.225,0,"N"
9.525,3.225,88.8888888888889,"N"
9.675,3.225,400,"N"
9.825,3.225,44.4444444444444,"N"
9.975,3.225,0,"N"
10.125,3.225,0,"N"
10.275,3.225,0,"N"
10.425,3.225,0,"N"
10.575,3.225,0,"N"
10.725,3.225,0,"N"
10.875,3.225,0,"N"
11.025,3.225,0,"N"
11.175,3.225,0,"N"
11.325,3.225,0,"N"
11.475,3.225,0,"N"
11.625,3.225,0,"N"
11.775,3.225,0,"N"
11.925,3.225,0,"N"
12.075,3.225,0,"N"
12.225,3.225,0,"N"
12.375,3.225,0,"N"
12.525,3.225,0,"N"
12.675,3.225,0,"N"
12.825,3.225,0,"N"
12.975,3.225,0,"N"
13.125,3.225,0,"N"
13.275,3.225,0,"N"
13.425,3.225,0,"N"
13.575,3.225,0,"N"
13.725,3.225,0,"N"
13.875,3.225,0,"N"
14.025,3.225,0,"N"
5.925,3.375,0,"N"
6.075,3.375,0,"N"
6.225,3.375,44.4444444444444,"N"
6.375,3.375,0,"N"
6.525,3.375,44.4444444444444,"N"
6.675,3.375,355.555555555556,"N"
6.825,3.375,133.333333333333,"N"
6.975,3.375,222.222222222222,"N"
7.125,3.375,266.666666666667,"N"
